trade_date_year_mo,delivery_year_mo,weighted_avg_price,total_transacted_quantity
2013-01,2021-10,,
2013-02,2021-10,,
2013-03,2021-10,,
2013-04,2021-10,,
2013-05,2021-10,,
2013-06,2021-10,,
2013-07,2021-10,4.0,20.0
2013-08,2021-10,,
2013-09,2021-10,,
2013-10,2021-10,,
2013-11,2021-10,,
2013-12,2021-10,6.026106408706166,248.1
2014-01,2021-10,,
2014-02,2021-10,,
2014-03,2021-10,,
2014-04,2021-10,,
2014-05,2021-10,7.64451438848921,556.0
2014-06,2021-10,,
2014-07,2021-10,,
2014-08,2021-10,,
2014-09,2021-10,,
2014-10,2021-10,,
2014-11,2021-10,,
2014-12,2021-10,,
2015-01,2021-10,4.22,230.0
2015-02,2021-10,,
2015-03,2021-10,,
2015-04,2021-10,4.22,20.0
2015-05,2021-10,,
2015-06,2021-10,11.37795,527.5
2015-07,2021-10,,
2015-08,2021-10,,
2015-09,2021-10,,
2015-10,2021-10,6.39,133.0
2015-11,2021-10,,
2015-12,2021-10,,
2016-01,2021-10,,
2016-02,2021-10,,
2016-03,2021-10,,
2016-04,2021-10,,
2016-05,2021-10,,
2016-06,2021-10,,
2016-07,2021-10,,
2016-08,2021-10,,
2016-09,2021-10,,
2016-10,2021-10,,
2016-11,2021-10,,
2016-12,2021-10,,
2017-01,2021-10,,
2017-02,2021-10,,
2017-03,2021-10,,
2017-04,2021-10,,
2017-05,2021-10,,
2017-06,2021-10,,
2017-07,2021-10,,
2017-08,2021-10,,
2017-09,2021-10,,
2017-10,2021-10,,
2017-11,2021-10,,
2017-12,2021-10,,
2018-01,2021-10,,
2018-02,2021-10,,
2018-03,2021-10,,
2018-04,2021-10,,
2018-05,2021-10,,
2018-06,2021-10,,
2018-07,2021-10,,
2018-08,2021-10,4.55,150.0
2018-09,2021-10,,
2018-10,2021-10,,
2018-11,2021-10,,
2018-12,2021-10,,
2019-01,2021-10,,
2019-02,2021-10,,
2019-03,2021-10,,
2019-04,2021-10,5.5,79.72
2019-05,2021-10,4.946642215568862,668.0
2019-06,2021-10,5.621621621621622,555.0
2019-07,2021-10,5.448222658610272,331.0
2019-08,2021-10,5.981919581292822,1841.86
2019-09,2021-10,5.871297399902882,226.53
2019-10,2021-10,10.429008195092836,2054.6198
2019-11,2021-10,6.33800231280717,691.8
2019-12,2021-10,9.0,18.0
2020-01,2021-10,6.892876712328767,146.0
2020-02,2021-10,6.011738648947953,1128.7499999999998
2020-03,2021-10,6.775994250119788,208.7
2020-04,2021-10,6.064987937273824,1658.0
2020-05,2021-10,6.142066202090592,11.48
2020-06,2021-10,6.585443037974684,434.5
2020-07,2021-10,7.917238346525947,284.25
2020-08,2021-10,7.5193279497359615,1037.7199999999998
2020-09,2021-10,8.021733141480611,618.5299999999999
2020-10,2021-10,7.659969063874047,1087.2084
2020-11,2021-10,8.517640186915887,214.0
2020-12,2021-10,6.5,2.0
2021-01,2021-10,5.62962962962963,27.0
2021-02,2021-10,,
2021-03,2021-10,8.036210680321874,27.34
2021-04,2021-10,5.412037624231202,1513.7904
2021-05,2021-10,6.893190772683091,49.9998
2021-06,2021-10,8.20440775522569,66.02
2021-07,2021-10,9.04068079640334,77.85
2021-08,2021-10,8.307336328270637,183.9994
2021-09,2021-10,7.35,6.62
2021-10,2021-10,7.526259419278055,840.23
2021-11,2021-10,,
2021-12,2021-10,,
2022-01,2021-10,,
2022-02,2021-10,,
2022-03,2021-10,,
2022-04,2021-10,,
2022-05,2021-10,,
2022-06,2021-10,,
2022-07,2021-10,,
2022-08,2021-10,,
2022-09,2021-10,,
2022-10,2021-10,,
2022-11,2021-10,,
2022-12,2021-10,,
2023-01,2021-10,,
2023-02,2021-10,,
2023-03,2021-10,,
2023-04,2021-10,,
2023-05,2021-10,,
2023-06,2021-10,,
2023-07,2021-10,,
2023-08,2021-10,,
2023-09,2021-10,,
2023-10,2021-10,,
2023-11,2021-10,,
2023-12,2021-10,,
2024-01,2021-10,,
2024-02,2021-10,,
2024-03,2021-10,,
2024-04,2021-10,,
2024-05,2021-10,,
2024-06,2021-10,,
2024-07,2021-10,,
2024-08,2021-10,,
2024-09,2021-10,,
2024-10,2021-10,,
2024-11,2021-10,,
2024-12,2021-10,,
2013-01,2021-11,,
2013-02,2021-11,,
2013-03,2021-11,,
2013-04,2021-11,,
2013-05,2021-11,,
2013-06,2021-11,,
2013-07,2021-11,4.0,20.0
2013-08,2021-11,,
2013-09,2021-11,,
2013-10,2021-11,,
2013-11,2021-11,,
2013-12,2021-11,6.026106408706166,248.1
2014-01,2021-11,,
2014-02,2021-11,,
2014-03,2021-11,,
2014-04,2021-11,,
2014-05,2021-11,7.003366583541147,401.0
2014-06,2021-11,,
2014-07,2021-11,,
2014-08,2021-11,,
2014-09,2021-11,,
2014-10,2021-11,,
2014-11,2021-11,,
2014-12,2021-11,,
2015-01,2021-11,4.22,230.0
2015-02,2021-11,,
2015-03,2021-11,,
2015-04,2021-11,4.22,20.0
2015-05,2021-11,,
2015-06,2021-11,11.389283,527.5
2015-07,2021-11,,
2015-08,2021-11,,
2015-09,2021-11,,
2015-10,2021-11,6.39,131.0
2015-11,2021-11,,
2015-12,2021-11,,
2016-01,2021-11,,
2016-02,2021-11,,
2016-03,2021-11,,
2016-04,2021-11,,
2016-05,2021-11,,
2016-06,2021-11,,
2016-07,2021-11,,
2016-08,2021-11,,
2016-09,2021-11,,
2016-10,2021-11,,
2016-11,2021-11,,
2016-12,2021-11,,
2017-01,2021-11,,
2017-02,2021-11,,
2017-03,2021-11,,
2017-04,2021-11,,
2017-05,2021-11,,
2017-06,2021-11,,
2017-07,2021-11,,
2017-08,2021-11,,
2017-09,2021-11,,
2017-10,2021-11,,
2017-11,2021-11,,
2017-12,2021-11,,
2018-01,2021-11,,
2018-02,2021-11,,
2018-03,2021-11,,
2018-04,2021-11,,
2018-05,2021-11,,
2018-06,2021-11,,
2018-07,2021-11,,
2018-08,2021-11,4.55,150.0
2018-09,2021-11,,
2018-10,2021-11,,
2018-11,2021-11,,
2018-12,2021-11,,
2019-01,2021-11,,
2019-02,2021-11,,
2019-03,2021-11,4.5,20.0002
2019-04,2021-11,,
2019-05,2021-11,4.861520124804992,641.0
2019-06,2021-11,5.621621621621622,555.0
2019-07,2021-11,5.572108930839795,385.0003
2019-08,2021-11,6.07637316195732,1717.86
2019-09,2021-11,5.9576931080852935,247.0003
