trade_date_year_mo,delivery_year_mo,weighted_avg_price,total_transacted_quantity
2013-01,2025-04,,
2013-02,2025-04,,
2013-03,2025-04,,
2013-04,2025-04,,
2013-05,2025-04,,
2013-06,2025-04,,
2013-07,2025-04,1.6,20.0
2013-08,2025-04,,
2013-09,2025-04,,
2013-10,2025-04,,
2013-11,2025-04,,
2013-12,2025-04,,
2014-01,2025-04,,
2014-02,2025-04,,
2014-03,2025-04,,
2014-04,2025-04,,
2014-05,2025-04,,
2014-06,2025-04,,
2014-07,2025-04,,
2014-08,2025-04,,
2014-09,2025-04,,
2014-10,2025-04,3.3333333,100.0
2014-11,2025-04,,
2014-12,2025-04,,
2015-01,2025-04,,
2015-02,2025-04,,
2015-03,2025-04,,
2015-04,2025-04,,
2015-05,2025-04,,
2015-06,2025-04,11.852106,527.5
2015-07,2025-04,,
2015-08,2025-04,,
2015-09,2025-04,,
2015-10,2025-04,,
2015-11,2025-04,,
2015-12,2025-04,,
2016-01,2025-04,,
2016-02,2025-04,13.0,147.0
2016-03,2025-04,,
2016-04,2025-04,,
2016-05,2025-04,,
2016-06,2025-04,,
2016-07,2025-04,,
2016-08,2025-04,,
2016-09,2025-04,13.23,15.0
2016-10,2025-04,,
2016-11,2025-04,,
2016-12,2025-04,,
2017-01,2025-04,,
2017-02,2025-04,,
2017-03,2025-04,,
2017-04,2025-04,,
2017-05,2025-04,,
2017-06,2025-04,,
2017-07,2025-04,,
2017-08,2025-04,,
2017-09,2025-04,,
2017-10,2025-04,,
2017-11,2025-04,6.81,50.0
2017-12,2025-04,,
2018-01,2025-04,,
2018-02,2025-04,,
2018-03,2025-04,,
2018-04,2025-04,6.0,100.0
2018-05,2025-04,,
2018-06,2025-04,,
2018-07,2025-04,,
2018-08,2025-04,,
2018-09,2025-04,,
2018-10,2025-04,,
2018-11,2025-04,,
2018-12,2025-04,,
2019-01,2025-04,,
2019-02,2025-04,,
2019-03,2025-04,,
2019-04,2025-04,8.411150442477876,56.5
2019-05,2025-04,,
2019-06,2025-04,,
2019-07,2025-04,,
2019-08,2025-04,,
2019-09,2025-04,,
2019-10,2025-04,21.1,100.0
2019-11,2025-04,,
2019-12,2025-04,,
2020-01,2025-04,,
2020-02,2025-04,5.34,46.5
2020-03,2025-04,,
2020-04,2025-04,6.129661016949153,118.0
2020-05,2025-04,2.5896042799406858,687.86
2020-06,2025-04,5.0,150.0
2020-07,2025-04,6.0,16.0
2020-08,2025-04,6.9,8.0
2020-09,2025-04,5.05,40.0
2020-10,2025-04,10.02560975609756,410.0
2020-11,2025-04,6.556685082872928,162.89999999999998
2020-12,2025-04,5.6693411787402335,311.01
2021-01,2025-04,,
2021-02,2025-04,,
2021-03,2025-04,,
2021-04,2025-04,7.6,400.0
2021-05,2025-04,5.65,100.77
2021-06,2025-04,6.0,50.0
2021-07,2025-04,,
2021-08,2025-04,7.0,35.0
2021-09,2025-04,7.379380686249025,2308.2
2021-10,2025-04,5.795402298850575,348.0
2021-11,2025-04,5.25,15.0
2021-12,2025-04,6.1578160919540235,435.0
2022-01,2025-04,9.250037991034116,263.22
2022-02,2025-04,6.135167464114833,209.0
2022-03,2025-04,,
2022-04,2025-04,6.95,20.0
2022-05,2025-04,6.578662420382165,157.0
2022-06,2025-04,6.310568669489269,233.0
2022-07,2025-04,7.992187255607345,319.67
2022-08,2025-04,5.2865743460528085,4381.47
2022-09,2025-04,7.164370324189526,401.0
2022-10,2025-04,9.430379782744595,612.67
2022-11,2025-04,9.5,50.0
2022-12,2025-04,8.844935464044253,162.7
2023-01,2025-04,8.036805555555556,720.0
2023-02,2025-04,7.911204819277109,1245.0
2023-03,2025-04,13.28705035971223,695.0
2023-04,2025-04,11.941412274762067,531.66
2023-05,2025-04,13.046546762589927,278.0
2023-06,2025-04,17.474761465066173,162.45
2023-07,2025-04,13.694361010830324,277.0
2023-08,2025-04,17.540067552520227,673.55
2023-09,2025-04,13.985973597359736,402.99
2023-10,2025-04,8.867884878419453,658.0
2023-11,2025-04,10.768919437340154,195.5
2023-12,2025-04,33.5,11.0
2024-01,2025-04,4.284475806451613,186.0
2024-02,2025-04,22.154519521199237,178.78
2024-03,2025-04,24.46385542168675,83.0
2024-04,2025-04,12.837797255299089,286.37
2024-05,2025-04,40.5,49.9
2024-06,2025-04,24.042890625000002,320.0
2024-07,2025-04,21.146500992857142,70.0
2024-08,2025-04,18.18000392272237,407.88
2024-09,2025-04,10.852105122016626,149.16
2024-10,2025-04,17.093572288653892,838.7900000000001
2024-11,2025-04,8.120460928465224,121.06
2024-12,2025-04,4.25,29.9899
2013-01,2025-05,,
2013-02,2025-05,,
2013-03,2025-05,,
2013-04,2025-05,,
2013-05,2025-05,,
2013-06,2025-05,,
2013-07,2025-05,1.6,20.0
2013-08,2025-05,,
2013-09,2025-05,,
2013-10,2025-05,,
2013-11,2025-05,,
2013-12,2025-05,,
2014-01,2025-05,,
2014-02,2025-05,,
2014-03,2025-05,,
2014-04,2025-05,,
2014-05,2025-05,,
