period,lag_1,lag_2,lag_3,lag_4,month,year,total_transacted_quantity,total_std_qty,total_tx_qty,avg_std_price,num_trades,SVR_forecast,RF_forecast
2025-01-01,3.501024642175572,3.501024642175572,3.501024642175572,3.501024642175572,1,2025,0.0,1478.2896,194036.3899,5322.091266666667,15.0,3.9207374447646615,4.526523832722233
2025-02-01,3.501024642175572,3.501024642175572,3.501024642175572,3.501024642175572,2,2025,0.0,1478.2896,194036.3899,5322.091266666667,15.0,3.901079954501805,4.519249076208802
2025-03-01,3.501024642175572,3.501024642175572,3.501024642175572,3.501024642175572,3,2025,0.0,1478.2896,194036.3899,5322.091266666667,15.0,3.884277381682219,4.5189470621367995
2025-04-01,3.501024642175572,3.501024642175572,3.501024642175572,3.501024642175572,4,2025,0.0,1478.2896,194036.3899,5322.091266666667,15.0,3.8697023722425454,4.526385539407155
2025-05-01,3.501024642175572,3.501024642175572,3.501024642175572,3.501024642175572,5,2025,0.0,1478.2896,194036.3899,5322.091266666667,15.0,3.856744616244078,4.5575776707006375
2025-06-01,3.501024642175572,3.501024642175572,3.501024642175572,3.501024642175572,6,2025,0.0,1478.2896,194036.3899,5322.091266666667,15.0,3.8448214795591005,4.460151000216644
2025-07-01,3.501024642175572,3.501024642175572,3.501024642175572,3.501024642175572,7,2025,0.0,1478.2896,194036.3899,5322.091266666667,15.0,3.833388189121016,4.471991008544566
2025-08-01,3.501024642175572,3.501024642175572,3.501024642175572,3.501024642175572,8,2025,0.0,1478.2896,194036.3899,5322.091266666667,15.0,3.8219473917068267,4.479420918245983
2025-09-01,3.501024642175572,3.501024642175572,3.501024642175572,3.501024642175572,9,2025,0.0,1478.2896,194036.3899,5322.091266666667,15.0,3.8100579164267367,4.472344807244608
2025-10-01,3.501024642175572,3.501024642175572,3.501024642175572,3.501024642175572,10,2025,0.0,1478.2896,194036.3899,5322.091266666667,15.0,3.79734258492783,4.469387666316568
2025-11-01,3.501024642175572,3.501024642175572,3.501024642175572,3.501024642175572,11,2025,0.0,1478.2896,194036.3899,5322.091266666667,15.0,3.783494930326272,4.49228723604871
2025-12-01,3.501024642175572,3.501024642175572,3.501024642175572,3.501024642175572,12,2025,0.0,1478.2896,194036.3899,5322.091266666667,15.0,3.7682847055321194,4.46789604463442
